"region","sexo","edad","educ","ingreso","univ","genero"
13,2,36,12,2000000,1,"Mujer"
13,2,1,0,NA,NA,"Mujer"
10,2,46,11,4705000,1,"Mujer"
13,1,82,3,206000,0,"Hombre"
5,2,63,8,525000,0,"Mujer"
8,2,23,5,150000,NA,"Mujer"
13,2,77,3,149907,0,"Mujer"
9,1,53,1,230000,0,"Hombre"
15,1,37,8,594875,0,"Hombre"
12,1,34,5,NA,0,"Hombre"
8,1,32,5,650000,0,"Hombre"
10,1,30,4,NA,0,"Hombre"
13,1,62,11,3181666,1,"Hombre"
10,2,34,8,658311,0,"Mujer"
9,2,62,7,425000,0,"Mujer"
8,1,44,8,545524,0,"Hombre"
7,2,18,5,NA,NA,"Mujer"
8,2,5,0,NA,NA,"Mujer"
2,2,23,7,150000,NA,"Mujer"
10,2,46,1,350000,0,"Mujer"
4,1,0,0,NA,NA,"Hombre"
5,2,15,3,NA,NA,"Mujer"
13,1,80,12,1248000,1,"Hombre"
8,2,73,1,NA,0,"Mujer"
9,2,67,2,460000,0,"Mujer"
12,2,56,1,300000,0,"Mujer"
10,2,13,1,NA,NA,"Mujer"
8,2,53,1,NA,0,"Mujer"
1,2,37,9,500000,0,"Mujer"
9,2,34,2,50000,0,"Mujer"
15,2,23,6,NA,NA,"Mujer"
13,1,28,9,1500000,0,"Hombre"
10,2,19,5,NA,NA,"Mujer"
13,1,23,9,304167,NA,"Hombre"
7,2,32,6,403333,0,"Mujer"
13,2,7,1,NA,NA,"Mujer"
13,2,19,6,322083,NA,"Mujer"
5,1,6,1,NA,NA,"Hombre"
2,2,15,4,NA,NA,"Mujer"
15,2,4,0,NA,NA,"Mujer"
8,1,3,0,NA,NA,"Hombre"
10,1,42,6,875000,0,"Hombre"
9,1,23,5,1250,NA,"Hombre"
13,2,11,1,NA,NA,"Mujer"
8,2,40,3,431000,0,"Mujer"
6,2,9,1,NA,NA,"Mujer"
10,1,47,2,128333,0,"Hombre"
1,2,24,5,NA,NA,"Mujer"
14,2,22,3,160000,NA,"Mujer"
14,2,25,6,NA,NA,"Mujer"
8,2,65,1,NA,0,"Mujer"
8,2,92,5,161335,0,"Mujer"
13,1,9,1,NA,NA,"Hombre"
7,1,65,11,1125000,1,"Hombre"
10,2,29,9,NA,0,"Mujer"
7,2,68,2,200000,0,"Mujer"
13,2,37,5,530000,0,"Mujer"
13,2,6,0,NA,NA,"Mujer"
2,1,16,3,NA,NA,"Hombre"
13,2,11,1,NA,NA,"Mujer"
6,1,19,9,NA,NA,"Hombre"
1,1,70,6,148000,0,"Hombre"
13,2,72,4,197695,0,"Mujer"
13,2,30,9,350000,0,"Mujer"
16,1,19,3,60000,NA,"Hombre"
4,2,45,5,NA,0,"Mujer"
13,1,42,5,200000,0,"Hombre"
9,2,6,1,NA,NA,"Mujer"
13,2,47,2,180000,0,"Mujer"
